test,"ID test"
basicAdName,"Basic Ad"
basicAdSubTitle,"Pasang iklan lowongan Anda dengan efektif"
basicAdSellingTitle,"Termasuk semua fitur Lite ad, plus:"
basicAdSellingPointOne,"Menjangkau lebih banyak kandidat."
basicAdSellingPointTwo,"Ditampilkan dalam rekomendasi pekerjaan."
brandedAdName,"Branded Ad"
brandedAdsName,"Branded Ads"
brandedAdSubTitle,"Komunikasikan employer brand Anda secara efektif"
brandedAdSellingTitle,"Termasuk semua fitur Basic ad, plus:"
brandedAdSellingPointOne,"Promosikan employer brand dengan 3 keuntungan bergabung di perusahaan Anda."
brandedAdSellingPointTwo,"Tampil menonjol dengan banner perusahaan yang menarik."
brandedAdSellingPointThree,"Tunjukkan budaya kerja dengan foto perusahaan Anda."
premiumAdName,"Premium Ad"
premiumAdsName,"Premium Ads"
premiumAdSubTitle,"Iklan Anda selalu diprioritaskan"
premiumAdSellingTitle,"Termasuk semua fitur Branded ad, plus:"
premiumAdSellingPointOne,"Iklan Anda diprioritaskan pada halaman pencarian di ponsel dan desktop."
premiumAdSellingPointTwo,"Posisi teratas pada rekomendasi pekerjaan untuk kandidat."
premiumAdSellingPointThree,"Mendapatkan talent lebih cepat."
premiumAdPlusName,"Premium Ad Plus"
premiumAdPlusSubTitle,"We deliver shortlisted, quality candidates to you"
premiumAdPlusSellingTitle,"Termasuk semua fitur Premium ad, plus:"
premiumAdPlusSellingPointOne,"Konsultan khusus untuk Anda."
premiumAdPlusSellingPointTwo,"Penulisan iklan lowongan yang dipersonalisasi."
premiumAdPlusSellingPointThree,"Save time & engage only with shortlisted candidates."
guaranteedHireName,"Guaranteed Hire"
guaranteedHiresName,"Guaranteed Hires"
guaranteedHireSubTitle,"Pay only when you hire successfully"
guaranteedHireSellingTitle,"Includes these features:"
guaranteedHireSellingPointOne,"Zero upfront commitment fee."
guaranteedHireSellingPointTwo,"Exclusive preferential rates at {{ percent }}% of candidate's annual salary."
guaranteedHireSellingPointThree,"Hire better & faster via market experts."
guaranteedHireEnquiryBackToSelection," Kembali ke pemilihan iklan"
guaranteedHireEnquiryTitle,"Pertanyaan mengenai Guaranteed Hire"
guaranteedHireEnquirySubTitle,"Harap pastikan semua informasi kontak di bawah ini sudah tepat. Customer care kami akan menghubungi Anda pada waktu yang Anda tentukan."
guaranteedHireEnquiryContactTitle,"Informasi kontak"
guaranteedHireEnquiryPositionTitle,"Posisi yang ingin Anda rekrut"
guaranteedHireEnquiryPreferedTitle,"Waktu untuk menghubungi Anda"
guaranteedHireEnquiryPreferedSubTitle,"Silakan sebutkan kapan waktu yang tepat bagi customer care kami untuk menghubungi Anda."
guaranteedHireEnquirySubmit,"Kirim"
guaranteedHireEnquiryContact,"Kontak"
guaranteedHireEnquiryName,"Nama"
guaranteedHireEnquiryEmail,"Email"
guaranteedHireEnquiryJobTitle,"Jabatan"
guaranteedHireEnquirySalaryRange,"Hiring budget for this position"
guaranteedHireEnquiryDate,"Tanggal"
guaranteedHireEnquiryTime,"Waktu"
guaranteedHireEnquirySuccessMessageOne,"Pertanyaan mengenai Super Premium telah berhasil terkirim. Customer care kami akan menghubungi Anda pada "
guaranteedHireFrom,"Dari"
guaranteedHireEnquirySuccessMessageTwo," di "
guaranteedHireEnquirySuccessBackPurchase,"Kembali ke Pembelian Kredit"
guaranteedHireInvalidContact,"Tidak valid - Kontak"
guaranteedHireInvalidName,"Tidak valid - Nama"
guaranteedHireInvalidEmail,"Tidak valid - Email"
guaranteedHireInvalidJobTitle,"Tidak valid - Jabatan"
guaranteedHireInvalidSalary,"Tidak valid - Jangkauan Gaji"
guaranteedHireMinSalaryPromptInfo,"Please ensure your minimum hiring budget is above {{ minSalary }}"
guaranteedHireMinSalaryErrMsg,"Please ensure your minimum hiring budget is above {{ minSalary }}"
faqFirstPart,"Untuk informasi lebih lanjut tentang jenis iklan, lihat "
faqMiddlePart,"FAQ"
faqLastPart," di bawah ini."
noPackagesTitleFirstHalf,"Jenis iklan ini tidak dapat ditampilkan sekarang. "
noPackagesTitleLastHalf,"Silakan hubungi kami."
saveOff,"% off"
jsdb.brandedAndPremiumAd,"brandedAD+ and Premium Ad"
jsdb.brandedAdPlusName,"brandedAD+"
jsdb.brandedAdsPlusName,"brandedAD+"
jsdb.brandedAdPlusSellingTitle,"Including Branded ad features, plus:"
jsdb.brandedAdPlusSellingPointOne,"Increase brand recognition using your company logo."
jsdb.brandedAdPlusSellingPointTwo,"Promote your employer  brand with 3 selling points."
jsdb.brandedAdPlusSellingPointThree,"Stand out with a personalised cover image."
jsdb.premiumAdSellingTitle,"Including Premium ad features, plus:"
jsdb.premiumAdSellingPointOne,"30-day money back guarantee."
jsdb.premiumAdSellingPointTwo,"Dedicated ad consultant."
jsdb.premiumAdSellingPointThree,"Personalised job ad writing."
jsdb.premiumAdSellingPointFour,"2 hour response time for queries."
jsdb.selectPackageBrandedTitle,"How many brandedAD+ do you want to purchase?"
jsdb.wantBuyMore,"Want to buy more?"
jsdb.contactUs,"Then contact us to order a bigger package."
jsdb.contactEmail,"Email: "
jsdb.contactTel,"Tel: "
jsdb.imageContentOne,"Show your logo on your job ad plus in job search listing and Job Alert emails"
jsdb.imageContentTwo,"Showcase your unique brand values to make your job ad look more professional"
jsdb.imageContentThree,"Job alert emails"
jsdb.imageContentFour,"jobsDB.com on desktop"
jsdb.imageContentFive,"Mobile"
jsdb.promotion,"Promotion"
jsdb.recommended,"Recommended"
jsdb.faq.brandedAndPremiumAd,"brandedAD+ and Premium Ad"
jsdb.faq.brandedAdPlusName,"brandedAD+"
jsdb.faq.brandedAdsPlusName,"brandedAD+"
jsdb.faq.brandedAdPlusSellingTitle,"Including Branded ad features, plus:"
jsdb.faq.brandedAdPlusSellingPointOne,"Increase brand recognition using your company logo."
jsdb.faq.brandedAdPlusSellingPointTwo,"Promote your employer  brand with 3 selling points."
jsdb.faq.brandedAdPlusSellingPointThree,"Stand out with a personalised cover image."
jsdb.faq.premiumAdSellingTitle,"Including Premium ad features, plus:"
jsdb.faq.premiumAdSellingPointOne,"30-day money back guarantee."
jsdb.faq.premiumAdSellingPointTwo,"Dedicated ad consultant."
jsdb.faq.premiumAdSellingPointThree,"Personalised job ad writing."
jsdb.faq.premiumAdSellingPointFour,"2 hour response time for queries."
jsdb.faq.selectPackageBrandedTitle,"How many brandedAD+ do you want to purchase?"
jsdb.faq.wantBuyMore,"Want to buy more?"
jsdb.faq.contactUs,"Then contact us to order a bigger package."
jsdb.faq.contactEmail,"Email: "
jsdb.faq.contactTel,"Tel: "
jsdb.faq.imageContentOne,"Show your logo on your job ad plus in job search listing and Job Alert emails"
jsdb.faq.imageContentTwo,"Showcase your unique brand values to make your job ad look more professional"
jsdb.faq.imageContentThree,"Job alert emails"
jsdb.faq.imageContentFour,"jobsDB.com on desktop"
jsdb.faq.imageContentFive,"Mobile"
jsdb.faq.promotion,"Promotion"
jsdb.faq.recommended,"Recommended"
jsdb.faq.faq.one.title,"Q1. How do I purchase credits?"
jsdb.faq.faq.one.stepOne.contentOne,"Step 1: From the Recruitment Centre dashboard, click on "
jsdb.faq.faq.one.stepOne.contentBlod,"Purchase"
jsdb.faq.faq.one.stepOne.contentTwo," at the top menu bar."
jsdb.faq.faq.one.stepTwo.contentOne,"Step 2: "
jsdb.faq.faq.one.stepTwo.contentBlod,"Select"
jsdb.faq.faq.one.stepTwo.contentBlodTwo,"Buy now."
jsdb.faq.faq.one.stepTwo.contentTwo,"your preferred package from the menu, and click on "
jsdb.faq.faq.two.title,"Q2. How do I make payment for a JobsDB package with a credit card?"
jsdb.faq.faq.two.subTitle,"To make payment using a credit card, follow the steps below:"
jsdb.faq.faq.two.stepOne.contentOne,"1.	Select "
jsdb.faq.faq.two.stepOne.contentBlod,"Pay by credit card"
jsdb.faq.faq.two.stepTwo.contentOne,"2.	Fill in your credit card information such as card number, name on card, expiration date, and card verification code (CVC)."
jsdb.faq.faq.two.stepThree.contentOne,"3.	Once done, Click on "
jsdb.faq.faq.two.stepThree.contentBlod,"Pay now"
jsdb.faq.faq.three.title,"Q3. Can I perform a transaction through Internet banking?"
jsdb.faq.faq.three.subTitle,"Yes. Payment can be made by HSBC / Hang Seng Internet Banking (Hong Kong)"
jsdb.faq.faq.three.stepOne.contentOne,"•	Category (類別) : Others (其他)"
jsdb.faq.faq.three.stepTwo.contentOne,"•	Merchant (商户) : JOBSDB HK LTD"
jsdb.faq.faq.three.stepThree.contentOne,"•	Bill Type (賬單類別) : 01 Job Ad Posting (01招聘廣告)"
jsdb.faq.faq.three.stepFour.contentOne,"•	Bill Payee Account No. (with Merchant) (賬單戶口號碼) : 13-Digit Payment reference"
jsdb.faq.faq.four.title,"Q4. How do I perform an online bank transfer?"
jsdb.faq.faq.four.note,"Note: Once the transaction is successful, please email the receipt to "
jsdb.faq.faq.four.stepOne.contentOne,"•	Account Name: Jobs DB Hong Kong Limited"
jsdb.faq.faq.four.stepTwo.contentOne,"•	Bank Name: The Hong Kong and Shanghai Banking Corporation"
jsdb.faq.faq.four.stepThree.contentOne,"•	Account No.: 500-330253-002"
jsdb.faq.faq.four.stepFour.contentOne,"•	Remarks or Message to Beneficiary: 13-Digit Payment Reference"
jsdb.faq.faq.five.title,"Q5. Can I perform a transaction through the ATM?"
jsdb.faq.faq.five.subTitle,"Yes. Payment can be made via ATM operated by "
jsdb.faq.faq.five.subTitleBlod,"HSBC or Hang Seng Bank."
jsdb.faq.faq.five.subTitleTwo,"The maximum cash payment per transaction is HK$ 5,000."
jsdb.faq.faq.five.stepOne.contentOne,"•	Category (類別) : Others"
jsdb.faq.faq.five.stepTwo.contentOne,"•	Bill type (賬單類別) : 01"
jsdb.faq.faq.five.stepThree.contentOne,"•	Merchant (商户) : JOBSDB HK LTD"
jsdb.faq.faq.five.stepFour.contentOne,"•	Bill Account No. (賬單號碼) : 13-Digit Payment Reference"
jsdb.faq.faq.six.title,"Q6. How do I make payment for a JobsDB package with a cheque?"
jsdb.faq.faq.six.note,"Note: Post-dated cheques are not accepted. Kindly attach your cheque to the Payment Advice (with barcode) and send it to us. "
jsdb.faq.faq.six.stepOne.contentOne,"•	Write crossed cheque payable to "
jsdb.faq.faq.six.stepOne.contentBlod,"Jobs DB Hong Kong Limited"
jsdb.faq.faq.six.stepTwo.contentOne,"•	Mailing Address: "
jsdb.faq.faq.six.stepTwo.contentBlod,"P.O. Box 10752, General Post Office, Hong Kong"
jsdb.faq.faq.seven.title,"Q7. Can I perform a transaction through Mobile banking?"
jsdb.faq.faq.seven.subTitle,"Yes. Payment can be made by "
jsdb.faq.faq.seven.subTitleBlod,"HSBC / Hang Seng Mobile Banking (Hong Kong)"
jsdb.faq.faq.seven.stepOne.contentOne,"•	Service (服務) : Bill Payment (缴费)"
jsdb.faq.faq.seven.stepTwo.contentOne,"•	Category (類別) : Others (其他)"
jsdb.faq.faq.seven.stepThree.contentOne,"•	Merchant (商户) : JOBSDB HK LTD; or enter 432 when asked for Merchant Code (商戶編號)"
jsdb.faq.faq.seven.stepFive.contentOne,"•	Bill Type (賬單類別) : 01 Job Ad Posting (01招聘廣告)"
jsdb.faq.faq.seven.stepFour.contentOne,"•	Bill Payee Account No. (with Merchant) (賬單戶口號碼) : 13-Digit Payment reference"
jsdb.faq.faq.eight.title,"Q8. How to edit my billing details? "
jsdb.faq.faq.eight.stepOne.contentOne,"To change the billing contact for your account:"
jsdb.faq.faq.eight.stepTwo.contentOne,"Kindly email us at "
jsdb.faq.faq.eight.stepTwo.contentTwo," with the updated contact person name, position title, email address and contact number. We will revert to you within 1 working day."
jsdb.faq.faq.eight.stepThree.contentOne,"To change the billing address for your account:"
jsdb.faq.faq.eight.stepFour.contentOne,"Kindly email us at "
jsdb.faq.faq.eight.stepFour.contentTwo," with proof of the updated address. We will revert to you within 1 working day."
